pair,frequency,course1,course2
"(566, 912)",13,566,912
"(551, 810)",13,551,810
"(1124, 1128)",13,1124,1128
"(489, 1125)",13,489,1125
"(1125, 1138)",13,1125,1138
"(679, 750)",13,679,750
"(672, 776)",13,672,776
"(514, 1115)",13,514,1115
"(908, 1116)",13,908,1116
"(367, 552)",13,367,552
"(679, 809)",13,679,809
"(752, 908)",13,752,908
"(357, 519)",13,357,519
"(361, 1125)",13,361,1125
"(777, 840)",13,777,840
"(490, 908)",13,490,908
"(908, 909)",13,908,909
"(502, 829)",13,502,829
"(502, 562)",13,502,562
"(514, 791)",13,514,791
"(809, 1152)",13,809,1152
"(794, 1100)",13,794,1100
"(794, 908)",13,794,908
"(562, 679)",13,562,679
"(570, 750)",13,570,750
"(511, 514)",13,511,514
"(515, 562)",13,515,562
"(552, 562)",13,552,562
"(490, 756)",13,490,756
"(752, 1100)",13,752,1100
"(519, 741)",13,519,741
"(1140, 1141)",13,1140,1141
"(572, 1100)",13,572,1100
"(515, 659)",13,515,659
"(490, 907)",13,490,907
"(502, 908)",13,502,908
"(514, 1102)",13,514,1102
"(502, 757)",13,502,757
"(515, 908)",13,515,908
"(566, 1116)",13,566,1116
"(503, 794)",13,503,794
"(516, 552)",12,516,552
"(1099, 1147)",12,1099,1147
"(671, 753)",12,671,753
"(489, 553)",12,489,553
"(568, 571)",12,568,571
"(571, 764)",12,571,764
"(552, 909)",12,552,909
"(764, 909)",12,764,909
"(518, 564)",12,518,564
"(356, 367)",12,356,367
"(777, 1100)",12,777,1100
"(523, 1116)",12,523,1116
"(679, 840)",12,679,840
"(671, 750)",12,671,750
"(564, 776)",12,564,776
"(745, 750)",12,745,750
"(517, 564)",12,517,564
"(514, 553)",12,514,553
"(523, 1101)",12,523,1101
"(360, 516)",12,360,516
"(776, 1103)",12,776,1103
"(489, 511)",12,489,511
"(569, 764)",12,569,764
"(551, 1185)",12,551,1185
"(553, 1125)",12,553,1125
"(519, 908)",12,519,908
"(741, 764)",12,741,764
"(750, 764)",12,750,764
"(745, 791)",12,745,791
"(502, 516)",12,502,516
"(664, 794)",12,664,794
"(572, 777)",12,572,777
"(570, 1104)",12,570,1104
"(566, 753)",12,566,753
"(564, 907)",12,564,907
"(907, 908)",12,907,908
"(361, 514)",12,361,514
"(514, 765)",12,514,765
"(679, 752)",12,679,752
"(570, 1181)",12,570,1181
"(564, 757)",12,564,757
"(1104, 1115)",12,1104,1115
"(366, 764)",12,366,764
"(515, 743)",12,515,743
"(515, 1152)",12,515,1152
"(1101, 1103)",12,1101,1103
"(511, 523)",12,511,523
"(359, 507)",12,359,507
"(515, 753)",12,515,753
"(508, 1115)",12,508,1115
"(679, 756)",12,679,756
"(502, 749)",12,502,749
"(515, 814)",12,515,814
"(570, 749)",12,570,749
"(523, 912)",11,523,912
"(519, 1125)",11,519,1125
"(357, 366)",11,357,366
"(571, 829)",11,571,829
"(552, 553)",11,552,553
"(357, 552)",11,357,552
"(829, 909)",11,829,909
"(516, 1103)",11,516,1103
"(514, 1100)",11,514,1100
"(765, 794)",11,765,794
"(367, 490)",11,367,490
"(367, 514)",11,367,514
"(516, 1139)",11,516,1139
"(515, 909)",11,515,909
"(523, 743)",11,523,743
"(357, 750)",11,357,750
"(745, 1102)",11,745,1102
"(794, 1125)",11,794,1125
"(750, 1125)",11,750,1125
"(679, 829)",11,679,829
"(519, 764)",11,519,764
"(777, 829)",11,777,829
"(569, 1103)",11,569,1103
"(519, 1103)",11,519,1103
"(908, 1103)",11,908,1103
"(514, 909)",11,514,909
"(489, 753)",11,489,753
"(515, 1102)",11,515,1102
"(358, 523)",11,358,523
"(809, 1181)",11,809,1181
"(777, 809)",11,777,809
"(777, 1115)",11,777,1115
"(569, 777)",11,569,777
"(572, 764)",11,572,764
"(809, 1102)",11,809,1102
"(358, 507)",11,358,507
"(745, 777)",11,745,777
"(750, 1100)",11,750,1100
"(519, 570)",11,519,570
"(361, 794)",11,361,794
"(1181, 1184)",11,1181,1184
"(1100, 1125)",11,1100,1125
"(507, 755)",11,507,755
"(809, 909)",11,809,909
"(502, 659)",11,502,659
"(551, 1141)",11,551,1141
"(490, 519)",11,490,519
"(562, 764)",11,562,764
"(359, 523)",11,359,523
"(502, 672)",11,502,672
"(809, 907)",11,809,907
"(564, 1101)",11,564,1101
"(756, 794)",11,756,794
"(513, 745)",11,513,745
"(504, 1103)",11,504,1103
"(756, 777)",11,756,777
"(514, 518)",11,514,518
"(749, 1103)",11,749,1103
"(489, 670)",11,489,670
"(569, 1100)",11,569,1100
"(564, 756)",11,564,756
"(513, 1188)",11,513,1188
"(749, 764)",11,749,764
"(514, 743)",11,514,743
"(514, 517)",10,514,517
"(516, 1125)",10,516,1125
"(764, 1102)",10,764,1102
"(489, 509)",10,489,509
"(523, 568)",10,523,568
"(552, 1125)",10,552,1125
"(490, 765)",10,490,765
"(490, 1125)",10,490,1125
"(571, 659)",10,571,659
"(777, 1102)",10,777,1102
"(366, 777)",10,366,777
"(517, 777)",10,517,777
"(523, 1161)",10,523,1161
"(552, 814)",10,552,814
"(552, 1116)",10,552,1116
"(752, 829)",10,752,829
"(361, 523)",10,361,523
"(523, 1128)",10,523,1128
"(551, 671)",10,551,671
"(553, 1100)",10,553,1100
"(516, 672)",10,516,672
"(363, 489)",10,363,489
"(511, 777)",10,511,777
"(566, 672)",10,566,672
"(360, 553)",10,360,553
"(356, 794)",10,356,794
"(562, 1100)",10,562,1100
"(562, 750)",10,562,750
"(564, 664)",10,564,664
"(664, 1185)",10,664,1185
"(490, 517)",10,490,517
"(502, 664)",10,502,664
"(489, 672)",10,489,672
"(516, 764)",10,516,764
"(507, 679)",10,507,679
"(361, 553)",10,361,553
"(664, 829)",10,664,829
"(357, 489)",10,357,489
"(519, 753)",10,519,753
"(566, 1101)",10,566,1101
"(516, 776)",10,516,776
"(551, 864)",10,551,864
"(490, 814)",10,490,814
"(672, 1100)",10,672,1100
"(502, 909)",10,502,909
"(863, 908)",10,863,908
"(515, 1128)",10,515,1128
"(502, 1115)",10,502,1115
"(570, 829)",10,570,829
"(755, 809)",10,755,809
"(366, 1103)",10,366,1103
"(511, 552)",10,511,552
"(502, 511)",10,502,511
"(1115, 1181)",10,1115,1181
"(515, 1115)",10,515,1115
"(571, 908)",10,571,908
"(502, 513)",10,502,513
"(809, 814)",10,809,814
"(908, 1125)",10,908,1125
"(562, 1103)",10,562,1103
"(756, 1100)",10,756,1100
"(361, 776)",10,361,776
"(741, 777)",10,741,777
"(562, 741)",10,562,741
"(1185, 1188)",10,1185,1188
"(741, 756)",10,741,756
"(363, 523)",10,363,523
"(1100, 1129)",10,1100,1129
"(514, 1128)",10,514,1128
"(791, 794)",10,791,794
"(566, 810)",10,566,810
"(551, 907)",10,551,907
"(1100, 1115)",10,1100,1115
"(829, 907)",10,829,907
"(504, 570)",10,504,570
"(1145, 1161)",10,1145,1161
"(564, 749)",10,564,749
"(519, 840)",10,519,840
"(679, 1116)",10,679,1116
"(489, 743)",10,489,743
"(368, 489)",10,368,489
"(504, 908)",10,504,908
"(519, 912)",9,519,912
"(1139, 1146)",9,1139,1146
"(1139, 1187)",9,1139,1187
"(517, 571)",9,517,571
"(551, 1099)",9,551,1099
"(489, 568)",9,489,568
"(509, 523)",9,509,523
"(502, 1125)",9,502,1125
"(765, 776)",9,765,776
"(912, 1186)",9,912,1186
"(523, 814)",9,523,814
"(502, 765)",9,502,765
"(360, 568)",9,360,568
"(523, 744)",9,523,744
"(551, 1128)",9,551,1128
"(564, 659)",9,564,659
"(564, 753)",9,564,753
"(741, 744)",9,741,744
"(672, 777)",9,672,777
"(363, 777)",9,363,777
"(519, 1138)",9,519,1138
"(764, 1100)",9,764,1100
"(513, 523)",9,513,523
"(513, 1140)",9,513,1140
"(523, 1140)",9,523,1140
"(553, 794)",9,553,794
"(502, 791)",9,502,791
"(356, 1144)",9,356,1144
"(552, 1144)",9,552,1144
"(908, 1101)",9,908,1101
